Date,Open,High,Low,Close,Adj Close,Volume
2013-01-30,75.519997,75.599998,74.510002,74.910004,44.255756,1163550
2013-01-31,74.849998,74.849998,73.680000,74.150002,43.806755,1997021
2013-02-01,74.239998,75.370003,73.849998,74.480003,44.001713,1837169
2013-02-04,74.779999,74.790001,72.029999,72.029999,42.554287,2057850
2013-02-05,71.629997,72.199997,70.050003,71.860001,42.453854,1972099
2013-02-06,72.129997,72.919998,70.970001,71.769997,42.400684,1477268
2013-02-07,71.620003,72.580002,71.349998,71.739998,42.382961,1635556
2013-02-08,72.050003,73.500000,71.889999,73.500000,43.422745,1310537
2013-02-11,73.260002,73.529999,71.760002,72.070000,42.577927,1291026
2013-02-12,71.730003,72.129997,71.089996,71.519997,42.252991,1347531
2013-02-13,71.820000,72.709999,71.279999,72.150002,42.625191,1189974
2013-02-14,72.150002,72.720001,71.400002,71.680000,42.347515,1353896
2013-02-15,71.879997,72.099998,71.400002,71.650002,42.329796,1461517
2013-02-18,70.790001,71.489998,70.650002,71.370003,42.164371,951551
2013-02-19,71.080002,71.900002,70.790001,71.790001,42.412510,1926065
2013-02-20,71.820000,71.949997,70.599998,70.760002,41.803997,1485880
2013-02-21,70.300003,70.300003,68.639999,69.059998,40.799660,2327628
2013-02-22,69.410004,70.120003,68.070000,68.790001,40.640148,2783226
2013-02-25,69.239998,71.599998,69.150002,70.580002,41.697651,2810780
2013-02-26,69.139999,70.580002,68.910004,69.459999,41.035973,2264463
2013-02-27,69.970001,70.449997,68.860001,70.320000,41.544052,1919743
2013-02-28,70.769997,70.870003,70.000000,70.699997,41.768536,1555604
2013-03-01,70.699997,71.169998,68.029999,69.199997,40.882362,2202823
2013-03-04,68.820000,70.040001,68.050003,69.400002,41.000530,1510626
2013-03-05,70.440002,71.699997,70.209999,71.410004,42.188004,1966063
2013-03-06,71.639999,72.300003,71.540001,71.599998,42.300251,1503437
2013-03-07,71.970001,72.279999,71.570000,72.019997,42.548382,1320415
2013-03-08,72.589996,73.099998,71.889999,72.650002,42.920582,1694965
2013-03-11,72.730003,73.000000,72.379997,72.559998,42.867409,984141
2013-03-12,72.470001,72.739998,71.790001,72.000000,42.536572,1135101
2013-03-13,71.730003,71.750000,70.680000,71.269997,42.105289,1674850
2013-03-14,71.870003,71.989998,69.699997,70.940002,41.910339,2805546
2013-03-15,71.059998,71.070000,69.410004,70.000000,41.354996,4029880
2013-03-18,68.959999,70.360001,68.550003,70.190002,41.467251,1584596
2013-03-19,69.809998,71.849998,68.580002,69.070000,40.805565,3185411
2013-03-20,70.300003,70.300003,69.040001,70.150002,41.443615,2148542
2013-03-21,69.830002,69.930000,68.500000,69.360001,40.976894,2646699
2013-03-22,69.160004,70.419998,68.790001,69.589996,41.112778,1497609
2013-03-25,70.269997,70.900002,69.309998,69.750000,41.207298,1716196
2013-03-26,70.129997,70.300003,69.339996,69.809998,41.242748,1502627
2013-03-27,70.260002,70.330002,68.599998,69.099998,40.823288,1738713
2013-03-28,68.970001,69.099998,66.879997,67.309998,39.765785,2657631
2013-04-02,67.410004,68.400002,66.320000,68.349998,40.380199,2175298
2013-04-03,68.449997,69.209999,68.180000,68.389999,40.403831,1469838
2013-04-04,68.699997,68.980003,67.209999,67.570000,39.919388,1730482
2013-04-05,67.589996,68.029999,65.580002,66.309998,39.174995,2087464
2013-04-08,66.599998,66.690002,65.690002,66.300003,39.169090,1372505
2013-04-09,66.459999,66.790001,65.519997,65.900002,38.932777,1673707
2013-04-10,65.989998,68.070000,65.760002,67.949997,40.143879,2163077
2013-04-11,68.099998,69.480003,67.860001,69.029999,40.781929,1889763
2013-04-12,68.629997,68.769997,66.980003,67.400002,39.818958,2031612
2013-04-15,67.480003,67.510002,65.879997,66.440002,39.251801,1659154
2013-04-16,66.150002,67.730003,65.669998,66.860001,39.499928,1626339
2013-04-17,67.339996,67.389999,64.589996,65.000000,38.401070,2983725
2013-04-18,65.089996,65.129997,63.270000,63.930000,37.768929,2147021
2013-04-19,64.309998,65.209999,63.910000,64.839996,38.306538,2618329
2013-04-22,65.120003,66.169998,64.779999,65.239998,38.542850,1928576
2013-04-23,65.000000,66.849998,64.339996,66.779999,39.452667,2446173
2013-04-24,66.500000,68.199997,66.349998,67.839996,40.078896,2325262
2013-04-25,67.989998,69.230003,67.629997,68.889999,40.699223,1626319
2013-04-26,68.599998,69.290001,67.669998,68.620003,40.539711,1524785
2013-04-29,68.809998,69.989998,68.620003,69.860001,41.272289,1568487
2013-04-30,70.279999,70.790001,69.599998,70.050003,41.384541,1637370
2013-05-02,70.699997,72.199997,69.940002,70.739998,41.792171,3011882
2013-05-03,70.519997,72.190002,70.010002,72.120003,42.607460,2129704
2013-05-06,71.970001,72.199997,71.129997,71.330002,42.140743,989178
2013-05-07,71.330002,72.080002,70.910004,70.980003,41.933968,1694368
2013-05-08,70.900002,71.370003,70.330002,71.029999,41.963505,1721713
2013-05-09,70.870003,71.089996,70.400002,71.070000,41.987144,873197
2013-05-10,71.410004,72.360001,71.379997,71.839996,42.442039,2330640
2013-05-13,72.010002,72.449997,71.089996,72.080002,42.583832,1984624
2013-05-14,72.550003,73.489998,71.860001,73.309998,43.310493,3103309
